"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0003360",3401.17277580801,2.99196971534935,0.123744899794909,16.0973884067205,2.66101505339952e-58,2.28661023538621e-54
"FBgn0039155",624.00847812373,4.344862337567,0.212852118017136,15.7144893305582,1.20346975333642e-55,5.17070779520991e-52
"FBgn0025111",1608.1205182098,-2.91502465081614,0.137505910986873,-13.9268533045023,4.35106845377259e-44,1.24629104077559e-40
"FBgn0026562",41915.8896419134,2.40618733247814,0.111713660231664,12.5874251149062,2.47619568335838e-36,5.31948737677464e-33
"FBgn0039827",247.027956423281,4.22295248252986,0.290531729377506,11.0932891544595,1.35222522338943e-28,2.32393426891708e-25
"FBgn0029167",3519.2002454326,2.20919472485284,0.12513650168577,9.66300566631827,4.32970620250061e-22,6.20086089968129e-19
"FBgn0029896",408.751251225482,2.64099156559541,0.196814990515699,8.33773667999396,7.57259722615803e-17,9.29590399491085e-14
"FBgn0034736",206.005302929405,3.25145221294623,0.275904823185092,8.16024956343671,3.34333080100454e-16,3.591155196629e-13
"FBgn0035085",513.212234668266,2.44345022006742,0.177850988815844,8.11606519411621,4.81542069938789e-16,4.59765667442668e-13
"FBgn0264475",575.126871373362,2.48611140032369,0.183673640771633,8.09104340764615,5.91557668309681e-16,5.08325504378509e-13
"FBgn0035189",240.712577659512,-2.96370066419213,0.254032337998884,-7.73012081714082,1.07444562969165e-14,8.39337390540029e-12
"FBgn0261552",4704.63651040704,1.97755147452143,0.129444271734973,7.55190987920182,4.28921256867588e-14,3.07143363355265e-11
"FBgn0000071",350.202620607175,-2.54886683599443,0.213703905320829,-7.24772359058738,4.23834432006398e-13,2.80154559556229e-10
"FBgn0038832",234.281791642418,2.67260057548548,0.246688078899101,6.78022457732784,1.19989217139132e-11,7.36476673483259e-09
"FBgn0264753",94.3357368148593,3.45793557658857,0.404375599994513,6.07834789394297,1.21427088165208e-09,6.95615312402423e-07
"FBgn0030041",73.1389052992805,3.76258402118484,0.471850204018003,5.85479035011594,4.77612119655901e-09,2.56507559012697e-06
